../../../pdielec -processors 4 -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -optical_tensor 2.3471 0 0.0786 0 2.3942 0 0.0786 0 2.2621 -csv command.csv -masses program LEUCINE_FREQUENCY_PBED3_631Gdp_FULLOPTIMIZATON.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
,,,,,,    2.000000,    0.059958,          0.00056496,          0.00049273,          0.00054941,          2.11912787,          2.10832727,          2.10817627,          0.00003528,          0.00003069,          0.00003422,          0.00013227,          0.00011536,          0.00012863
,,,,,,    2.200000,    0.065954,          0.00068386,          0.00059647,          0.00066512,          2.11913081,          2.10832983,          2.10817912,          0.00003882,          0.00003378,          0.00003766,          0.00016011,          0.00013965,          0.00015572
,,,,,,    2.400000,    0.071950,          0.00081419,          0.00071019,          0.00079199,          2.11913404,          2.10833264,          2.10818224,          0.00004237,          0.00003686,          0.00004111,          0.00019062,          0.00016627,          0.00018542
,,,,,,    2.600000,    0.077946,          0.00095597,          0.00083393,          0.00093005,          2.11913755,          2.10833569,          2.10818565,          0.00004592,          0.00003996,          0.00004456,          0.00022381,          0.00019524,          0.00021774
,,,,,,    2.800000,    0.083942,          0.00110924,          0.00096771,          0.00107935,          2.11914135,          2.10833899,          2.10818932,          0.00004948,          0.00004306,          0.00004802,          0.00025970,          0.00022656,          0.00025270
,,,,,,    3.000000,    0.089938,          0.00127403,          0.00111157,          0.00123992,          2.11914543,          2.10834254,          2.10819327,          0.00005304,          0.00004616,          0.00005149,          0.00029828,          0.00026024,          0.00029029
,,,,,,    3.200000,    0.095934,          0.00145038,          0.00126555,          0.00141182,          2.11914979,          2.10834633,          2.10819749,          0.00005661,          0.00004927,          0.00005496,          0.00033956,          0.00029629,          0.00033054
,,,,,,    3.400000,    0.101929,          0.00163832,          0.00142969,          0.00159510,          2.11915443,          2.10835037,          2.10820199,          0.00006018,          0.00005239,          0.00005844,          0.00038356,          0.00033472,          0.00037345
,,,,,,    3.600000,    0.107925,          0.00183790,          0.00160403,          0.00178981,          2.11915936,          2.10835465,          2.10820677,          0.00006376,          0.00005551,          0.00006194,          0.00043029,          0.00037554,          0.00041903
,,,,,,    3.800000,    0.113921,          0.00204916,          0.00178862,          0.00199602,          2.11916457,          2.10835919,          2.10821183,          0.00006735,          0.00005864,          0.00006544,          0.00047975,          0.00041875,          0.00046731
,,,,,,    4.000000,    0.119917,          0.00227215,          0.00198350,          0.00221377,          2.11917007,          2.10836397,          2.10821716,          0.00007095,          0.00006178,          0.00006895,          0.00053196,          0.00046438,          0.00051829
,,,,,,    4.200000,    0.125913,          0.00250692,          0.00218872,          0.00244315,          2.11917586,          2.10836900,          2.10822277,          0.00007455,          0.00006492,          0.00007247,          0.00058692,          0.00051242,          0.00057199
,,,,,,    4.400000,    0.131909,          0.00275353,          0.00240435,          0.00268422,          2.11918193,          2.10837429,          2.10822866,          0.00007816,          0.00006808,          0.00007600,          0.00064466,          0.00056291,          0.00062843
,,,,,,    4.600000,    0.137905,          0.00301202,          0.00263044,          0.00293705,          2.11918829,          2.10837982,          2.10823483,          0.00008178,          0.00007124,          0.00007954,          0.00070518,          0.00061584,          0.00068762
,,,,,,    4.800000,    0.143900,          0.00328246,          0.00286705,          0.00320173,          2.11919494,          2.10838560,          2.10824129,          0.00008541,          0.00007441,          0.00008310,          0.00076849,          0.00067123,          0.00074959
